
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.06a-bjj, 6-Jun-2016) on 07-Jun-2016 at 10:43:29.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  13.45   11.744   11.758   11.829   -0.589    1.291   -0.433   -0.589    1.291   -0.559    0.255   -0.760    1.101    0.489
  13.50   11.866   11.894   11.998   -0.828    1.573   -0.311   -0.828    1.573   -0.490    0.258   -1.302    1.628    0.708
  13.55   12.076   12.085   12.219   -0.466    1.806   -0.101   -0.466    1.806   -0.182    0.047   -0.843    1.746    0.432
  13.60   12.185   12.186   12.300   -0.181    1.672    0.008   -0.181    1.672    0.013   -0.001   -0.302    1.413    0.151
  13.65   11.988   12.000   12.096   -0.549    1.520   -0.189   -0.549    1.520   -0.288    0.104   -0.835    1.324    0.445
  13.70   12.063   12.072   12.136   -0.454    1.246   -0.114   -0.454    1.246   -0.142    0.052   -0.566    0.886    0.293
  13.75   12.215   12.219   12.249   -0.320    0.858    0.038   -0.320    0.858    0.032   -0.012   -0.274    0.419    0.138
  13.80   12.384   12.392   12.436   -0.440    1.046    0.207   -0.440    1.046    0.217   -0.091   -0.461    0.666    0.259
  13.85   12.565   12.575   12.598   -0.508    0.750    0.388   -0.508    0.750    0.291   -0.197   -0.381    0.486    0.259
  13.90   12.528   12.529   12.560   -0.138    0.886    0.351   -0.138    0.886    0.311   -0.048   -0.122    0.463    0.169
  13.95   12.415   12.416   12.494   -0.149    1.393    0.238   -0.149    1.393    0.332   -0.036   -0.208    1.010    0.196
  14.00   12.299   12.301   12.401   -0.223    1.577    0.122   -0.223    1.577    0.192   -0.027   -0.352    1.276    0.201
  14.05   12.174   12.175   12.281   -0.091    1.611   -0.003   -0.091    1.611   -0.004    0.000   -0.147    1.303    0.074
  14.10   12.192   12.197   12.283   -0.359    1.452    0.015   -0.359    1.452    0.021   -0.005   -0.522    1.119    0.261
  14.15   12.449   12.449   12.516   -0.074    1.292    0.272   -0.074    1.292    0.352   -0.020   -0.096    0.875    0.183
  14.20   12.259   12.266   12.340   -0.428    1.348    0.082   -0.428    1.348    0.110   -0.035   -0.576    1.004    0.294
  14.25   12.133   12.136   12.204   -0.295    1.287   -0.044   -0.295    1.287   -0.057    0.013   -0.380    0.873    0.192
  14.30   12.378   12.379   12.452   -0.150    1.345    0.201   -0.150    1.345    0.270   -0.030   -0.202    0.935    0.169
  14.35   11.900   11.904   11.965   -0.313    1.202   -0.277   -0.313    1.202   -0.333    0.087   -0.376    0.810    0.255
  14.40   11.877   11.884   11.937   -0.421    1.120   -0.300   -0.421    1.120   -0.336    0.127   -0.472    0.761    0.297
  14.45   11.887   11.900   11.929   -0.566    0.835   -0.290   -0.566    0.835   -0.242    0.164   -0.473    0.551    0.278
  14.50   11.709   11.733   11.762   -0.752    0.824   -0.468   -0.752    0.824   -0.386    0.352   -0.619    0.731    0.405
  14.55   11.745   11.754   11.789   -0.462    0.912   -0.432   -0.462    0.912   -0.394    0.200   -0.421    0.616    0.305
  14.60   11.889   11.902   11.939   -0.562    0.946   -0.288   -0.562    0.946   -0.273    0.162   -0.532    0.647    0.309
  14.65   11.937   11.954   11.973   -0.631    0.669   -0.240   -0.631    0.669   -0.160    0.151   -0.422    0.452    0.238
  14.70   11.727   11.742   11.792   -0.581    1.090   -0.450   -0.581    1.090   -0.490    0.261   -0.634    0.865    0.421
  14.75   11.522   11.534   11.602   -0.530    1.258   -0.655   -0.530    1.258   -0.824    0.348   -0.667    1.147    0.558
  14.80   11.685   11.700   11.772   -0.601    1.297   -0.492   -0.601    1.297   -0.638    0.296   -0.780    1.143    0.525
  14.85   11.888   11.890   11.983   -0.229    1.489   -0.289   -0.229    1.489   -0.430    0.066   -0.341    1.176    0.276
  14.90   12.290   12.290   12.370   -0.004    1.401    0.113   -0.004    1.401    0.158   -0.000   -0.006    0.987    0.079
  14.95   12.186   12.187   12.240   -0.134    1.136    0.009   -0.134    1.136    0.010   -0.001   -0.153    0.654    0.076
  15.00   12.030   12.031   12.119    0.185    1.453   -0.147    0.185    1.453   -0.214   -0.027    0.268    1.084    0.172
  15.05   12.257   12.264   12.336    0.427    1.330    0.080    0.427    1.330    0.106    0.034    0.568    0.979    0.289
  15.10   12.408   12.421   12.522    0.579    1.581    0.231    0.579    1.581    0.365    0.134    0.916    1.444    0.497
  15.15   12.228   12.230   12.326    0.229    1.540    0.051    0.229    1.540    0.078    0.012    0.352    1.213    0.180
  15.20   12.437   12.444   12.536    0.428    1.513    0.260    0.428    1.513    0.393    0.111    0.647    1.270    0.383
  15.25   12.300   12.315   12.414    0.613    1.570    0.122    0.613    1.570    0.192    0.075    0.962    1.428    0.492
  15.30   12.416   12.424   12.520    0.445    1.547    0.239    0.445    1.547    0.370    0.106    0.688    1.324    0.394
  15.35   12.582   12.586   12.678    0.340    1.524    0.405    0.340    1.524    0.616    0.138    0.519    1.301    0.409
  15.40   12.332   12.333   12.450    0.116    1.708    0.155    0.116    1.708    0.265    0.018    0.198    1.477    0.166
  15.45   12.339   12.343   12.466    0.321    1.748    0.162    0.321    1.748    0.282    0.052    0.561    1.592    0.315
  15.50   12.359   12.368   12.485    0.469    1.705    0.182    0.469    1.705    0.311    0.086    0.799    1.579    0.431
  15.55   12.448   12.472   12.570    0.766    1.568    0.271    0.766    1.568    0.425    0.208    1.201    1.559    0.645
  15.60   12.606   12.639   12.719    0.913    1.427    0.429    0.913    1.427    0.612    0.391    1.303    1.527    0.746
  15.65   12.868   12.894   12.943    0.813    1.125    0.691    0.813    1.125    0.777    0.562    0.915    1.202    0.663
  15.70   12.930   12.950   12.981    0.718    0.895    0.753    0.718    0.895    0.674    0.541    0.643    0.942    0.539
  15.75   13.109   13.131   13.143    0.756    0.575    0.932    0.756    0.575    0.536    0.705    0.435    0.886    0.493
  15.80   13.016   13.019   13.024    0.284    0.357    0.839    0.284    0.357    0.300    0.238    0.101    0.456    0.198
  15.85   12.863   12.865   12.892   -0.223    0.835    0.686   -0.223    0.835    0.573   -0.153   -0.186    0.608    0.311
  15.90   12.994   12.994   13.013    0.040    0.697    0.817    0.040    0.697    0.570    0.033    0.028    0.578    0.286
  15.95   12.899   12.899   12.924    0.016    0.804    0.722    0.016    0.804    0.580    0.011    0.013    0.583    0.290
  16.00   13.118   13.118   13.142   -0.072    0.798    0.941   -0.072    0.798    0.751   -0.068   -0.058    0.764    0.378
  16.05   13.280   13.285   13.316    0.375    0.902    1.103    0.375    0.902    0.995    0.414    0.339    1.086    0.565
  16.10   13.282   13.285   13.293    0.242    0.482    1.105    0.242    0.482    0.532    0.268    0.117    0.756    0.304
  16.15   13.108   13.108   13.117    0.056    0.478    0.931    0.056    0.478    0.445    0.052    0.027    0.549    0.224
  16.20   13.326   13.331   13.333    0.353    0.254    1.149    0.353    0.254    0.292    0.406    0.090    0.755    0.254
  16.25   13.492   13.497   13.506    0.364    0.496    1.315    0.364    0.496    0.652    0.478    0.180    1.053    0.414
  16.30   13.438   13.448   13.455    0.524    0.409    1.261    0.524    0.409    0.516    0.661    0.214    1.016    0.433
  16.35   13.214   13.235   13.247    0.753    0.557    1.036    0.753    0.557    0.578    0.781    0.420    0.976    0.529
  16.40   12.758   12.767   12.806    0.480    0.995    0.581    0.480    0.995    0.578    0.279    0.478    0.779    0.400
  16.45   12.579   12.583   12.607    0.309    0.780    0.402    0.309    0.780    0.313    0.124    0.241    0.432    0.207
